timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2026/01/15 17:53:22.768, 1 %, 3 %, 16376 MiB, 11040 MiB, 5022 MiB
2026/01/15 17:53:23.881, 1 %, 4 %, 16376 MiB, 11039 MiB, 5023 MiB
2026/01/15 17:53:24.483, 7 %, 4 %, 16376 MiB, 10824 MiB, 5238 MiB
2026/01/15 17:53:25.584, 9 %, 4 %, 16376 MiB, 10671 MiB, 5391 MiB
